Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,1088.0,18.0,75.0,2285.0,0.1,65.00900000000004,0.0,0.0,317.0897388458252,,,,,,,,,,,,,,,,,,,,,28.846253787731396,20.289254245910623,62.971410816141606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1159.0,19.0,71.0,2356.0,0.1,61.00899999999998,0.0,0.0,323.89251732826233,,,,,,,,,,,,,,,,,,,,,26.950157757729357,19.16976156104316,59.213907400093994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1227.0,20.0,68.0,2424.0,0.1,56.010999999999974,0.0,0.0,330.2242362499237,,,,,,,,,,,,,,,,,,,,,23.856406231085643,17.98180566663025,54.4977052891592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,84.0,1.0,84.0,2508.0,0.1,70.01300000000006,0.0,0.0,447.1559548377991,,,,,,,,,,,,,,,,,,,,,29.730366674957118,22.1752204194187,67.6508833150504,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,154.0,2.0,70.0,2578.0,0.1,57.01199999999997,0.0,0.0,453.6500232219696,,,,,,,,,,,,,,,,,,,,,23.98130038464554,18.366073563883475,55.44414181255811,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,310.0,3.0,156.0,2734.0,0.1,121.03400000000002,0.0,0.0,467.7492289543152,,,,,,,,,,,,,,,,,,,,,53.175323795819075,33.364881783872235,112.96446545429538,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,397.0,4.0,87.0,2821.0,0.1,79.00700000000003,0.0,0.0,475.6269977092743,,,,,,,,,,,,,,,,,,,,,36.27451354378507,23.813333630220733,76.00304741347024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,484.0,5.0,87.0,2908.0,0.1,78.00800000000004,0.0,0.0,483.5480201244354,,,,,,,,,,,,,,,,,,,,,35.3912528361931,23.715859474013573,75.07904401223166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,512.0,6.0,28.0,2936.0,0.1,21.006000000000007,0.0,0.0,486.4061288833618,,,,,,,,,,,,,,,,,,,,,8.94246261653461,7.212780890375597,20.79718461878999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,579.0,7.0,67.0,3003.0,0.1,59.006999999999984,0.0,0.0,492.807728767395,,,,,,,,,,,,,,,,,,,,,26.77552422467832,18.324182750770976,57.32763782495864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
